#Key,Factor,BaseValue,ShiftSize
IndexCurve/USD-LIBOR-3M/6,IndexCurve/USD-LIBOR-3M/6/10Y,0.01691046,0.00010000
IndexCurve/USD-LIBOR-3M/7,IndexCurve/USD-LIBOR-3M/7/15Y,0.01959010,0.00010000
IndexCurve/USD-LIBOR-3M/8,IndexCurve/USD-LIBOR-3M/8/20Y,0.02105603,0.00010000
IndexCurve/USD-LIBOR-6M/0,IndexCurve/USD-LIBOR-6M/0/6M,0.00809101,0.00010000
IndexCurve/USD-LIBOR-6M/1,IndexCurve/USD-LIBOR-6M/1/1Y,0.00890329,0.00010000
IndexCurve/USD-LIBOR-6M/2,IndexCurve/USD-LIBOR-6M/2/2Y,0.00770981,0.00010000
IndexCurve/USD-LIBOR-6M/3,IndexCurve/USD-LIBOR-6M/3/3Y,0.00883154,0.00010000
IndexCurve/USD-LIBOR-6M/4,IndexCurve/USD-LIBOR-6M/4/5Y,0.01114338,0.00010000
IndexCurve/USD-LIBOR-6M/5,IndexCurve/USD-LIBOR-6M/5/7Y,0.01327248,0.00010000
IndexCurve/USD-LIBOR-6M/6,IndexCurve/USD-LIBOR-6M/6/10Y,0.01566421,0.00010000
IndexCurve/USD-LIBOR-6M/7,IndexCurve/USD-LIBOR-6M/7/15Y,0.01839168,0.00010000
IndexCurve/USD-LIBOR-6M/8,IndexCurve/USD-LIBOR-6M/8/20Y,0.01980323,0.00010000
SwaptionVolatility/EUR/0,SwaptionVolatility/EUR/0/1Y/1Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/1,SwaptionVolatility/EUR/1/1Y/5Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/2,SwaptionVolatility/EUR/2/1Y/10Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/3,SwaptionVolatility/EUR/3/5Y/1Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/4,SwaptionVolatility/EUR/4/5Y/5Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/5,SwaptionVolatility/EUR/5/5Y/10Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/6,SwaptionVolatility/EUR/6/7Y/1Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/7,SwaptionVolatility/EUR/7/7Y/5Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/8,SwaptionVolatility/EUR/8/7Y/10Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/9,SwaptionVolatility/EUR/9/10Y/1Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/10,SwaptionVolatility/EUR/10/10Y/5Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/11,SwaptionVolatility/EUR/11/10Y/10Y/ATM,0.00000000,0.00000000
